,,Ciclo Respiratorio,Normal,Crepitancia,Sibilancia,Varianza,Rango,Suma de Promedios,Promedio de Espectros
101_1b1_Al_sc_Meditron.wav,0,1.0,1,0.0,0.0,0.00012574972814009822,0.1495165836095777,7.251985217432316e-07,0.00025145745570299516
101_1b1_Al_sc_Meditron.wav,1,2.0,1,0.0,0.0,0.00013441278062666816,0.17054931184354807,-2.1379913679755485e-07,0.00026881904553368804
101_1b1_Al_sc_Meditron.wav,2,3.0,1,0.0,0.0,0.00013033350988127593,0.17901941151465645,5.655318114289118e-07,0.000260658827838612
101_1b1_Al_sc_Meditron.wav,3,4.0,1,0.0,0.0,0.00015589545925921749,0.21631004321468153,7.511070560984049e-07,0.0003117760351866042
101_1b1_Al_sc_Meditron.wav,4,5.0,1,0.0,0.0,0.00010400407817651282,0.16639576488602464,-1.5349746313994782e-06,0.00020799723900896675
101_1b1_Al_sc_Meditron.wav,5,6.0,1,0.0,0.0,0.00011302619478512551,0.1701387208975916,-1.915312384134858e-06,0.00022604072716558862
101_1b1_Al_sc_Meditron.wav,6,7.0,1,0.0,0.0,0.00012326251915702568,0.17594491652477773,1.9782076806936644e-06,0.0002465190631083139
101_1b1_Al_sc_Meditron.wav,7,8.0,1,0.0,0.0,0.00011575946340780215,0.1724683725814694,-1.0854711977208355e-06,0.00023151335985093134
101_1b1_Al_sc_Meditron.wav,8,9.0,1,0.0,0.0,0.00010961976917884011,0.23244452608899083,9.91008816331474e-07,0.00021922773796269896
101_1b1_Al_sc_Meditron.wav,9,10.0,1,0.0,0.0,0.00011296675495277739,0.16374942165034784,-1.9491056111776298e-07,0.0002259231918935026
101_1b1_Al_sc_Meditron.wav,10,11.0,1,0.0,0.0,0.00012315582795349137,0.1656620197809675,-1.4844740239474036e-06,0.0002463054503326627
101_1b1_Al_sc_Meditron.wav,11,12.0,1,0.0,0.0,0.00011285410401006624,0.17390371444135277,-3.4646082167742296e-06,0.00022569415833398123
101_1b1_Pr_sc_Meditron.wav,0,1.0,1,0.0,0.0,1.6750958398474293e-06,0.011906377649046078,-9.05995999966993e-08,3.3500679650833485e-06
101_1b1_Pr_sc_Meditron.wav,1,2.0,1,0.0,0.0,2.6019480522615573e-06,0.019471176633114443,-6.59647841057392e-07,5.2037867468106665e-06
101_1b1_Pr_sc_Meditron.wav,2,3.0,1,0.0,0.0,3.072522678766602e-06,0.03863509806796887,6.210210896987226e-07,6.144914400126389e-06
101_1b1_Pr_sc_Meditron.wav,3,4.0,1,0.0,0.0,3.193007788909387e-06,0.05083005504337756,1.5636182303447964e-09,6.3858620235344135e-06
101_1b1_Pr_sc_Meditron.wav,4,5.0,1,0.0,0.0,2.962158614617395e-06,0.03389983299403394,-7.677321045241176e-08,5.924166720692806e-06
101_1b1_Pr_sc_Meditron.wav,5,6.0,1,0.0,0.0,7.141180389084948e-06,0.09003737218100472,4.6725209442015617e-07,1.4282043744634315e-05
101_1b1_Pr_sc_Meditron.wav,6,7.0,1,0.0,0.0,5.047492682248321e-06,0.05233801392901628,-1.8455330478598753e-08,1.0094756463644873e-05
101_1b1_Pr_sc_Meditron.wav,7,8.0,1,0.0,0.0,4.716459664506812e-06,0.05832317020015115,4.576778333600368e-07,9.432472567654859e-06
101_1b1_Pr_sc_Meditron.wav,8,9.0,1,0.0,0.0,4.241846459813043e-06,0.06327951932591135,-1.8846658767547452e-07,8.483503212718226e-06
101_1b1_Pr_sc_Meditron.wav,9,10.0,1,0.0,0.0,7.369437042780383e-06,0.07552069941917496,-5.024110329957065e-08,1.4738535136198114e-05
